DateTimeUT,"FIES room WebSensor1 Temperature near ceiling","FIES room WebSensor1 Humidity","FIES room WebSensor1 Illumination","FIES front room WebSensor2 Temperature","FIES front room WebSensor2 Humidity","FIES front room WebSensor2 Illumination","FIES inside black box at rear","FIES room near ceiling and fan control","FIES under grating in tank","FIES front room","FIES below table girder","FIES above heater radiator","FIES inside black box centre","FIES above ceiling","FIES grating tank housing","FIES inside white box rear","FIES inside white box centre","FIES centre of table [inc. gnd]","FIES ceiling near instrument (Aarhus 1)","FIES inside black box (Aarhus 2)","FIES Inside white box under dewar (Aarhus 3)","FIES Detector temperature","FIES Dewar temperature","FIES Detector pressure","FIES Atmospheric Pressure","FIES grating tank pressure"
"2020-05-29 12:00:20",20.3,31.8,0,18.3,33.3,0.4,20.055,19.733,20.465,17.732,19.223,23.791,20.345,17.65,20.594,20.019,20.564,20.435,20.65,20.74,21.37,-120,-176.17,1.18e-06,773.002,768.65
"2020-05-29 12:01:20",20.3,31.8,0,18.3,33.2,0.4,20.055,19.694,20.465,17.734,19.222,23.801,20.344,17.643,20.594,20.027,20.56,20.435,20.65,20.76,21.39,-120,-176.16,1.18e-06,772.975,768.651
"2020-05-29 12:02:20",20.3,31.8,0,18.3,33.2,0.4,20.055,19.687,20.465,17.729,19.222,23.802,20.345,17.628,20.594,20.048,20.575,20.437,20.64,20.73,21.36,-120.01,-176.18,1.18e-06,772.966,768.649
"2020-05-29 12:03:20",20.3,31.8,0,18,33.6,0.4,20.055,19.704,20.465,17.661,19.222,23.594,20.345,17.619,20.593,20.077,20.569,20.436,20.63,20.74,21.33,-120.01,-176.19,1.18e-06,772.953,768.65
"2020-05-29 12:04:19",20.3,31.8,0,17.9,33.8,0.4,20.055,19.707,20.465,17.627,19.222,23.869,20.345,17.618,20.593,20.001,20.569,20.435,20.67,20.73,21.35,-119.99,-176.17,1.18e-06,772.962,768.652
"2020-05-29 12:05:19",20.3,31.8,0,17.9,34,0.4,20.055,19.719,20.465,17.65,19.222,23.884,20.346,17.637,20.593,19.986,20.567,20.435,20.65,20.73,21.36,-120.01,-176.18,1.18e-06,772.967,768.651
"2020-05-29 12:06:19",20.3,31.8,0,18,33.8,0.4,20.055,19.693,20.465,17.704,19.222,23.845,20.345,17.642,20.594,20.006,20.567,20.435,20.6,20.75,21.38,-120,-176.18,1.18e-06,772.957,768.651
"2020-05-29 12:07:20",20.3,31.8,0,18.1,33.6,0.4,20.055,19.664,20.465,17.708,19.222,24.063,20.345,17.684,20.594,20.074,20.565,20.435,20.63,20.73,21.37,-120.01,-176.17,1.18e-06,772.95,768.649
"2020-05-29 12:08:19",20.3,31.8,0,18.2,33.5,0.4,20.055,19.702,20.465,17.738,19.222,23.663,20.345,17.655,20.594,19.998,20.561,20.435,20.63,20.74,21.38,-119.99,-176.2,1.18e-06,772.945,768.651
"2020-05-29 12:09:20",20.3,31.8,0,18.2,33.4,0.4,20.055,19.697,20.465,17.766,19.222,23.937,20.345,17.651,20.594,20.021,20.558,20.434,20.62,20.77,21.32,-120.01,-176.18,1.18e-06,772.943,768.651
"2020-05-29 12:10:19",20.3,31.8,0,18.3,33.2,0.4,20.055,19.7,20.465,17.71,19.222,23.89,20.345,17.647,20.594,19.944,20.563,20.435,20.65,20.74,21.34,-119.99,-176.18,1.18e-06,772.903,768.649
"2020-05-29 12:11:20",20.3,31.8,0,18.1,33.4,0.4,20.055,19.72,20.465,17.681,19.222,23.831,20.345,17.644,20.594,20.087,20.564,20.435,20.66,20.74,21.33,-120.01,-176.19,1.18e-06,772.916,768.652
"2020-05-29 12:12:20",20.3,31.8,0,17.9,33.8,0.4,20.055,19.717,20.465,17.631,19.222,23.497,20.345,17.657,20.594,19.956,20.555,20.434,20.68,20.73,21.34,-119.98,-176.19,1.18e-06,772.921,768.651
"2020-05-29 12:13:19",20.3,31.8,0,17.9,34,0.4,20.055,19.725,20.465,17.591,19.221,23.53,20.345,17.66,20.594,20.059,20.548,20.434,20.66,20.73,21.36,-120.01,-176.18,1.18e-06,772.9,768.653
"2020-05-29 12:14:19",20.3,31.8,0,18,33.8,0.4,20.055,19.683,20.465,17.67,19.221,23.781,20.345,17.651,20.594,20.182,20.535,20.433,20.66,20.75,21.32,-119.99,-176.18,1.18e-06,772.938,768.65
"2020-05-29 12:15:20",20.3,31.8,0,18.1,33.7,0.4,20.055,19.702,20.465,17.682,19.221,23.502,20.345,17.666,20.594,20.138,20.544,20.434,20.69,20.77,21.3,-120,-176.2,1.18e-06,772.899,768.652
"2020-05-29 12:16:20",20.3,31.8,0,18.2,33.5,0.4,20.055,19.716,20.465,17.71,19.221,24.003,20.345,17.667,20.594,20.138,20.547,20.434,20.66,20.71,21.33,-120,-176.18,1.18e-06,772.859,768.651
"2020-05-29 12:17:19",20.2,31.8,0,18.3,33.2,0.4,20.055,19.705,20.465,17.768,19.221,23.694,20.345,17.664,20.594,19.984,20.538,20.433,20.65,20.74,21.37,-120,-176.19,1.18e-06,772.881,768.652
"2020-05-29 12:18:20",20.3,31.8,0,18.3,33.2,0.4,20.054,19.685,20.465,17.737,19.221,23.905,20.344,17.648,20.594,19.972,20.548,20.434,20.63,20.73,21.35,-120,-176.17,1.18e-06,772.84,768.652
"2020-05-29 12:19:19",20.3,31.8,0,18.1,33.5,0.4,20.055,19.708,20.465,17.672,19.22,23.442,20.344,17.643,20.594,19.938,20.554,20.434,20.63,20.75,21.34,-119.99,-176.19,1.18e-06,772.822,768.651
"2020-05-29 12:20:19",20.3,31.8,0,18,33.7,0.4,20.054,19.71,20.465,17.64,19.22,23.42,20.344,17.686,20.594,19.937,20.559,20.433,20.64,20.76,21.41,-120,-176.2,1.18e-06,772.804,768.651
"2020-05-29 12:21:20",20.3,31.8,0,17.9,34,0.4,20.055,19.704,20.465,17.604,19.219,23.644,20.345,17.685,20.594,19.94,20.559,20.434,20.61,20.76,21.36,-119.99,-176.19,1.18e-06,772.819,768.653
"2020-05-29 12:22:20",20.3,31.8,0,18,33.8,0.4,20.055,19.709,20.465,17.672,19.22,23.671,20.345,17.679,20.594,20.007,20.557,20.433,20.64,20.75,21.37,-120,-176.18,1.18e-06,772.813,768.651
"2020-05-29 12:23:20",20.3,31.8,0,18.2,33.5,0.4,20.055,19.71,20.465,17.649,19.219,23.738,20.345,17.682,20.594,19.986,20.568,20.434,20.65,20.72,21.3,-120.01,-176.18,1.18e-06,772.806,768.653
"2020-05-29 12:24:19",20.3,31.8,0,18.3,33.3,0.4,20.055,19.677,20.465,17.705,19.219,23.541,20.344,17.663,20.594,19.995,20.56,20.434,20.65,20.75,21.34,,,,772.785,768.652
"2020-05-29 12:25:20",20.3,31.8,0,18.4,33.2,0.4,20.055,19.716,20.465,17.705,19.219,23.717,20.344,17.663,20.594,19.994,20.561,20.433,20.63,20.74,21.38,-120,-176.18,1.18e-06,772.756,768.652
"2020-05-29 12:26:20",20.3,31.8,0,18.3,33.2,0.4,20.055,19.728,20.465,17.694,19.219,23.87,20.344,17.662,20.594,20.127,20.559,20.433,20.65,20.75,21.39,-119.99,-176.18,1.18e-06,772.787,768.652
"2020-05-29 12:27:20",20.3,31.8,0,18,33.6,0.4,20.055,19.724,20.465,17.658,19.218,23.786,20.345,17.651,20.594,20.006,20.56,20.433,20.66,20.72,21.34,-120,-176.17,1.18e-06,772.782,768.653
"2020-05-29 12:28:20",20.2,31.8,0,17.9,33.8,0.4,20.055,19.692,20.465,17.607,19.218,23.605,20.345,17.655,20.594,19.926,20.565,20.432,20.63,20.75,21.4,-119.99,-176.19,1.18e-06,772.79,768.654
"2020-05-29 12:29:20",20.3,31.8,0,18,33.8,0.4,20.055,19.733,20.465,17.636,19.218,23.742,20.345,17.684,20.594,20.041,20.557,20.433,20.64,20.74,21.39,-120.01,-176.18,1.18e-06,772.792,768.653
"2020-05-29 12:30:20",20.3,31.8,0,18.1,33.6,0.4,20.055,19.693,20.465,17.672,19.218,23.621,20.345,17.667,20.594,20.025,20.565,20.433,20.64,20.73,21.38,-120,-176.19,1.18e-06,772.759,768.652
"2020-05-29 12:31:19",20.3,31.8,0,18.2,33.4,0.4,20.055,19.709,20.465,17.696,19.218,23.573,20.345,17.659,20.594,20.125,20.56,20.432,20.66,20.74,21.36,-120,-176.19,1.18e-06,772.747,768.652
"2020-05-29 12:32:20",20.3,31.8,0,18.3,33.3,0.4,20.055,19.702,20.465,17.743,19.218,23.868,20.345,17.679,20.595,20.076,20.566,20.433,20.65,20.74,21.37,-120,-176.19,1.18e-06,772.779,768.655
"2020-05-29 12:33:20",20.3,31.8,0,18.4,33.2,0.4,20.055,19.722,20.465,17.699,19.218,23.982,20.346,17.694,20.594,20.05,20.564,20.433,20.66,20.73,21.36,-120,-176.18,1.18e-06,772.795,768.654
"2020-05-29 12:34:20",20.3,31.8,0,18.2,33.3,0.4,20.055,19.677,20.466,17.73,19.218,23.637,20.345,17.686,20.594,20.072,20.556,20.433,20.63,20.75,21.32,-119.99,-176.18,1.18e-06,772.791,768.656
"2020-05-29 12:35:19",20.3,31.9,0,18,33.5,0.4,20.055,19.703,20.466,17.67,19.217,23.633,20.345,17.697,20.595,20.094,20.557,20.432,20.64,20.77,21.39,-120.01,-176.19,1.18e-06,772.776,768.653
"2020-05-29 12:36:20",20.3,31.8,0,17.8,33.8,0.4,20.055,19.712,20.466,17.614,19.217,23.843,20.345,17.724,20.594,20.078,20.557,20.432,20.65,20.76,21.4,-120.01,-176.2,1.18e-06,772.777,768.654
"2020-05-29 12:37:20",20.3,31.8,0,17.9,34,0.4,20.055,19.711,20.466,17.652,19.217,23.607,20.345,17.734,20.595,20.104,20.552,20.432,20.66,20.74,21.32,-120,-176.19,1.18e-06,772.758,768.654
"2020-05-29 12:38:19",20.2,31.8,0,18,33.8,0.4,20.055,19.683,20.466,17.693,19.217,24.086,20.344,17.724,20.594,20.075,20.564,20.432,20.65,20.78,21.37,-120,-176.17,1.18e-06,772.734,768.654
"2020-05-29 12:39:20",20.2,31.8,0,18.2,33.6,0.4,20.055,19.73,20.466,17.74,19.216,23.779,20.345,17.713,20.595,20.101,20.553,20.431,20.64,20.73,21.37,-120,-176.18,1.18e-06,772.725,768.653
"2020-05-29 12:40:20",20.2,31.8,0,18.3,33.3,0.4,20.055,19.725,20.466,17.774,19.216,23.681,20.345,17.716,20.595,20.042,20.559,20.431,20.68,20.75,21.36,-120,-176.19,1.18e-06,772.756,768.655
"2020-05-29 12:41:19",20.3,31.9,0,18.3,33.2,0.4,20.055,19.721,20.466,17.786,19.216,23.947,20.345,17.693,20.594,20.083,20.553,20.431,20.67,20.77,21.38,-120.02,-176.2,1.18e-06,772.758,768.655
"2020-05-29 12:42:20",20.3,31.8,0,18.2,33.4,0.4,20.055,19.718,20.466,17.699,19.216,23.7,20.345,17.691,20.594,20.039,20.543,20.431,20.63,20.74,21.36,-120.01,-176.19,1.18e-06,772.749,768.653
