DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-05-29 17:49:26",0,1370173
"2020-05-29 17:49:30",4.218,2213197
"2020-05-29 17:49:34",8.358,2213535
"2020-05-29 17:49:38",12.566,2213943
"2020-05-29 17:49:41",16.776,2214393
"2020-05-29 17:49:45",19.014,2214773
"2020-05-29 17:49:49",23.195,2215168
"2020-05-29 17:49:53",27.403,2215570
"2020-05-29 17:49:57",31.613,2215984
"2020-05-29 17:50:00",35.822,2216322
"2020-05-29 17:50:04",38.032,2216748
"2020-05-29 17:50:08",42.241,2217090
"2020-05-29 17:50:12",46.449,2217474
"2020-05-29 17:50:15",50.661,2875544
"2020-05-29 17:50:19",53.131,4426032
"2020-05-29 17:50:23",57.079,4426412
"2020-05-29 17:50:27",61.287,4426816
"2020-05-29 17:50:31",65.498,4427185
"2020-05-29 17:50:34",69.707,4427524
"2020-05-29 17:50:38",72.084,4427941
"2020-05-29 17:50:42",76.124,4428323
"2020-05-29 17:50:46",80.335,4428713
"2020-05-29 17:50:50",84.544,4429097
"2020-05-29 17:50:53",88.753,4429459
"2020-05-29 17:50:57",91.038,4429881
"2020-05-29 17:51:01",95.143,4430249
"2020-05-29 17:51:05",99.352,4430639
"2020-05-29 17:51:09",103.561,6650928
"2020-05-29 17:51:12",107.77,6651282
"2020-05-29 17:51:16",110.02,6651718
"2020-05-29 17:51:20",114.189,6652101
"2020-05-29 17:51:24",118.398,6652482
"2020-05-29 17:51:28",122.607,6652848
"2020-05-29 17:51:31",126.817,6653205
"2020-05-29 17:51:35",129.026,6653568
"2020-05-29 17:51:39",133.235,6653941
"2020-05-29 17:51:43",137.444,6654295
"2020-05-29 17:51:46",141.654,6654649
"2020-05-29 17:51:50",144.136,6655018
"2020-05-29 17:51:54",148.073,6655354
"2020-05-29 17:51:58",152.282,8602546
"2020-05-29 17:52:02",156.491,8881387
"2020-05-29 17:52:05",160.701,8881759
"2020-05-29 17:52:09",163.09,8882127
"2020-05-29 17:52:13",167.119,8882516
"2020-05-29 17:52:17",171.329,8882848
"2020-05-29 17:52:21",175.538,8883250
"2020-05-29 17:52:24",179.747,8883586
"2020-05-29 17:52:28",182.044,8884003
"2020-05-29 17:52:32",186.166,8884411
"2020-05-29 17:52:36",190.376,8884732
"2020-05-29 17:52:40",194.585,8885122
"2020-05-29 17:52:43",198.794,8885503
"2020-05-29 17:52:47",201.003,10068650
"2020-05-29 17:52:51",205.213,11116188
"2020-05-29 17:52:55",209.422,11116572
"2020-05-29 17:52:59",213.631,11116974
"2020-05-29 17:53:02",217.841,11117331
"2020-05-29 17:53:06",220.05,11117655
"2020-05-29 17:53:10",224.259,11118035
"2020-05-29 17:53:14",228.468,11118374
"2020-05-29 17:53:17",232.679,11118782
"2020-05-29 17:53:21",235.112,11119116
"2020-05-29 17:53:25",239.097,11119488
"2020-05-29 17:53:29",243.306,11119880
"2020-05-29 17:53:33",247.516,11120287
"2020-05-29 17:53:36",251.725,11526930
"2020-05-29 17:53:40",254.066,13323660
"2020-05-29 17:53:44",258.143,13324082
"2020-05-29 17:53:48",262.353,13324385
"2020-05-29 17:53:52",266.562,13324805
"2020-05-29 17:53:55",270.771,13325204
"2020-05-29 17:53:59",273.019,13325662
"2020-05-29 17:54:03",277.191,13326011
"2020-05-29 17:54:07",281.4,13326383
"2020-05-29 17:54:11",285.609,13326740
"2020-05-29 17:54:14",289.818,13327114
"2020-05-29 17:54:18",292.028,13327458
"2020-05-29 17:54:22",296.237,13327779
"2020-05-29 17:54:26",300.446,13328139
"2020-05-29 17:54:29",304.655,15536061
"2020-05-29 17:54:33",307.136,15536450
"2020-05-29 17:54:37",311.074,15536839
"2020-05-29 17:54:41",315.283,15537218
"2020-05-29 17:54:45",319.493,15537620
"2020-05-29 17:54:48",323.702,15538014
"2020-05-29 17:54:52",326.088,15538392
"2020-05-29 17:54:56",330.121,15538821
"2020-05-29 17:55:00",334.33,15539196
"2020-05-29 17:55:04",338.539,15539609
"2020-05-29 17:55:07",342.739,15539938
"2020-05-29 17:55:11",345.052,15540282
"2020-05-29 17:55:15",349.157,15540669
"2020-05-29 17:55:19",353.367,17233926
"2020-05-29 17:55:23",357.576,17751082
"2020-05-29 17:55:26",361.785,17751382
"2020-05-29 17:55:30",364.005,17751706
"2020-05-29 17:55:34",368.204,17752104
"2020-05-29 17:55:38",372.414,17752494
"2020-05-29 17:55:42",376.622,17752898
"2020-05-29 17:55:45",380.833,17753308
"2020-05-29 17:55:49",383.041,17753692
"2020-05-29 17:55:53",387.251,17754010
"2020-05-29 17:55:57",391.461,17754420
"2020-05-29 17:56:00",395.67,17754758
"2020-05-29 17:56:04",398.122,17755140
"2020-05-29 17:56:08",402.087,18712684
"2020-05-29 17:56:12",406.288,19963384
"2020-05-29 17:56:16",410.498,19963728
"2020-05-29 17:56:19",414.707,19964062
"2020-05-29 17:56:23",417.084,19964500
"2020-05-29 17:56:27",421.126,19964856
"2020-05-29 17:56:31",425.335,19965208
"2020-05-29 17:56:35",429.543,19965652
"2020-05-29 17:56:38",433.753,19966018
"2020-05-29 17:56:42",436.039,19966380
"2020-05-29 17:56:46",440.171,19966728
"2020-05-29 17:56:50",444.38,19967124
"2020-05-29 17:56:54",448.59,19967516
"2020-05-29 17:56:57",452.801,20174220
"2020-05-29 17:57:01",455.01,22186076
"2020-05-29 17:57:04",459.219,22186376
"2020-05-29 18:02:27",0,0
"2020-05-29 18:02:30",0,374
"2020-05-29 18:02:34",3.788,1446528
"2020-05-29 18:02:38",7.58,2936711
"2020-05-29 18:02:42",11.37,2937153
"2020-05-29 18:02:46",15.16,2937534
"2020-05-29 18:02:49",19.048,2937867
"2020-05-29 18:02:53",22.741,2938176
"2020-05-29 18:02:57",26.533,2938591
"2020-05-29 18:03:01",30.323,2938962
