JD_UTC,RV,RV_ERR,FIES_ROOM_WEBSENSOR1_TEMPERATURE_NEAR_CEILING,FIES_ROOM_WEBSENSOR1_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_TEMPERATURE,FIES_FRONT_ROOM_WEBSENSOR2_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_ILLUMINATION,FIES_INSIDE_BLACK_BOX_AT_REAR,FIES_ROOM_NEAR_CEILING_AND_FAN_CONTROL,FIES_UNDER_GRATING_IN_TANK,FIES_FRONT_ROOM,FIES_BELOW_TABLE,FIES_ABOVE_HEATER_RADIATOR,FIES_INSIDE_BLACK_BOX_CENTRE,FIES_ABOVE_CEILING,FIES_GRATING_TANK_HOUSING,FIES_INSIDE_WHITE_BOX_REAR,FIES_INSIDE_WHITE_BOX_CENTRE,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_INCLUDE_GND,FIES_CEILING_NEAR_INSTRUMENT_AARHUS_1,FIES_INSIDE_BLACK_BOX_AARHUS_2,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_AARHUS_3,FIES_DETECTOR_TEMPERATURE,FIES_DEWAR_TEMPERATURE,FIES_DETECTOR_PRESSURE,FIES_ATMOSPHERIC_PRESSURE,FIES_GRATING_TANK_PRESSURE
2458935.444020, 12.36, 0.22, 20.800000, 33.600000, 19.000000, 35.000000, 0.400000, 20.539000, 20.465000, 20.743000, 18.218000, 20.537000, 21.171000, 20.779000, 10.697000, 20.925000, 20.529000, 20.914000, 21.267000, 21.440000, 21.160000, 21.670000, -131.080000, -175.650000, 0.000001, 765.775000, 769.576000
2458935.444230, 10.96, 0.32, 20.800000, 33.600000, 19.000000, 35.000000, 0.400000, 20.539000, 20.465000, 20.743000, 18.218000, 20.537000, 21.171000, 20.779000, 10.697000, 20.925000, 20.529000, 20.914000, 21.267000, 21.440000, 21.160000, 21.670000, -131.080000, -175.650000, 0.000001, 765.775000, 769.576000
2458935.444441, 10.75, 0.22, 20.800000, 33.600000, 19.000000, 35.000000, 0.400000, 20.539000, 20.465000, 20.743000, 18.218000, 20.537000, 21.171000, 20.779000, 10.697000, 20.925000, 20.529000, 20.914000, 21.267000, 21.440000, 21.160000, 21.670000, -131.080000, -175.650000, 0.000001, 765.775000, 769.576000
2458935.444652, 9.95, 0.27, 20.800000, 33.600000, 19.000000, 35.000000, 0.400000, 20.539000, 20.465000, 20.743000, 18.218000, 20.537000, 21.171000, 20.779000, 10.697000, 20.925000, 20.529000, 20.914000, 21.267000, 21.440000, 21.160000, 21.670000, -131.080000, -175.650000, 0.000001, 765.775000, 769.576000
2458935.444863, 9.16, 0.28, 20.800000, 33.600000, 19.000000, 35.000000, 0.400000, 20.539000, 20.465000, 20.743000, 18.218000, 20.537000, 21.171000, 20.779000, 10.697000, 20.925000, 20.529000, 20.914000, 21.267000, 21.440000, 21.160000, 21.670000, -131.080000, -175.650000, 0.000001, 765.775000, 769.576000
2458935.445074, 9.55, 0.21, 20.800000, 33.600000, 19.400000, 34.300000, 0.400000, 20.538000, 20.478000, 20.744000, 18.436000, 20.513000, 21.211000, 20.777000, 10.789000, 20.926000, 20.597000, 20.912000, 21.268000, 21.410000, 21.160000, 21.670000, -131.080000, -175.790000, 0.000001, 765.702000, 769.580000
2458935.445285, 8.36, 0.21, 20.800000, 33.600000, 19.400000, 34.300000, 0.400000, 20.538000, 20.478000, 20.744000, 18.436000, 20.513000, 21.211000, 20.777000, 10.789000, 20.926000, 20.597000, 20.912000, 21.268000, 21.410000, 21.160000, 21.670000, -131.080000, -175.790000, 0.000001, 765.702000, 769.580000
2458935.445495, 6.17, 0.23, 20.800000, 33.600000, 19.400000, 34.300000, 0.400000, 20.538000, 20.478000, 20.744000, 18.436000, 20.513000, 21.211000, 20.777000, 10.789000, 20.926000, 20.597000, 20.912000, 21.268000, 21.410000, 21.160000, 21.670000, -131.080000, -175.790000, 0.000001, 765.702000, 769.580000
2458935.445706, 3.88, 0.26, 20.800000, 33.600000, 19.400000, 34.300000, 0.400000, 20.538000, 20.478000, 20.744000, 18.436000, 20.513000, 21.211000, 20.777000, 10.789000, 20.926000, 20.597000, 20.912000, 21.268000, 21.410000, 21.160000, 21.670000, -131.080000, -175.790000, 0.000001, 765.702000, 769.580000
2458935.445917, 2.24, 0.33, 20.800000, 33.500000, 19.700000, 33.900000, 0.400000, 20.538000, 20.445000, 20.745000, 18.587000, 20.441000, 21.242000, 20.778000, 10.821000, 20.927000, 20.556000, 20.916000, 21.263000, 21.380000, 21.160000, 21.690000, -131.080000, -175.600000, 0.000001, 765.753000, 769.583000
2458935.446127, -0.06, 0.26, 20.800000, 33.500000, 19.700000, 33.900000, 0.400000, 20.538000, 20.445000, 20.745000, 18.587000, 20.441000, 21.242000, 20.778000, 10.821000, 20.927000, 20.556000, 20.916000, 21.263000, 21.380000, 21.160000, 21.690000, -131.080000, -175.600000, 0.000001, 765.753000, 769.583000
2458935.446338, -0.95, 0.28, 20.800000, 33.500000, 19.700000, 33.900000, 0.400000, 20.538000, 20.445000, 20.745000, 18.587000, 20.441000, 21.242000, 20.778000, 10.821000, 20.927000, 20.556000, 20.916000, 21.263000, 21.380000, 21.160000, 21.690000, -131.080000, -175.600000, 0.000001, 765.753000, 769.583000
