JD_UTC,RV,RV_ERR,FIES_ROOM_WEBSENSOR1_TEMPERATURE_NEAR_CEILING,FIES_ROOM_WEBSENSOR1_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_TEMPERATURE,FIES_FRONT_ROOM_WEBSENSOR2_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_ILLUMINATION,FIES_INSIDE_BLACK_BOX_AT_REAR,FIES_ROOM_NEAR_CEILING_AND_FAN_CONTROL,FIES_UNDER_GRATING_IN_TANK,FIES_FRONT_ROOM,FIES_BELOW_TABLE,FIES_ABOVE_HEATER_RADIATOR,FIES_INSIDE_BLACK_BOX_CENTRE,FIES_ABOVE_CEILING,FIES_GRATING_TANK_HOUSING,FIES_INSIDE_WHITE_BOX_REAR,FIES_INSIDE_WHITE_BOX_CENTRE,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_INCLUDE_GND,FIES_CEILING_NEAR_INSTRUMENT_AARHUS_1,FIES_INSIDE_BLACK_BOX_AARHUS_2,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_AARHUS_3,FIES_DETECTOR_TEMPERATURE,FIES_DEWAR_TEMPERATURE,FIES_DETECTOR_PRESSURE,FIES_ATMOSPHERIC_PRESSURE,FIES_GRATING_TANK_PRESSURE
2458925.023748, 100.25, 0.32, 20.200000, 29.200000, 19.900000, 23.500000, 0.400000, 20.501000, 19.779000, 20.595000, 18.779000, 19.737000, 25.902000, 20.566000, 12.736000, 20.729000, 20.467000, 20.441000, 20.900000, 20.840000, 20.980000, 21.260000, -120.000000, -173.150000, 0.000001, 771.693000, 770.315000
2458925.024318, 100.22, 0.26, 20.200000, 29.100000, 20.000000, 23.400000, 0.400000, 20.500000, 19.885000, 20.595000, 18.956000, 19.778000, 25.540000, 20.565000, 12.718000, 20.729000, 20.440000, 20.438000, 20.906000, 20.890000, 20.990000, 21.270000, -119.980000, -173.020000, 0.000001, 771.755000, 770.315000
2458925.024889, 98.33, 0.25, 20.200000, 29.100000, 19.700000, 23.700000, 0.400000, 20.501000, 19.866000, 20.595000, 18.771000, 19.778000, 25.627000, 20.566000, 12.705000, 20.728000, 20.418000, 20.438000, 20.912000, 20.900000, 20.960000, 21.290000, -119.990000, -173.020000, 0.000001, 771.754000, 770.314000
2458925.025459, 97.81, 0.30, 20.200000, 29.100000, 19.700000, 23.700000, 0.400000, 20.501000, 19.866000, 20.595000, 18.771000, 19.778000, 25.627000, 20.566000, 12.705000, 20.728000, 20.418000, 20.438000, 20.912000, 20.900000, 20.960000, 21.290000, -119.990000, -173.020000, 0.000001, 771.754000, 770.314000
2458925.026030, 89.03, 0.26, 20.200000, 29.100000, 19.400000, 24.100000, 0.400000, 20.500000, 19.837000, 20.595000, 18.614000, 19.689000, 27.936000, 20.563000, 12.740000, 20.728000, 20.520000, 20.439000, 20.905000, 20.850000, 21.020000, 21.230000, -119.980000, -172.910000, 0.000001, 771.594000, 770.315000
2458925.026601, 91.87, 0.25, 20.200000, 29.100000, 19.200000, 24.400000, 0.400000, 20.499000, 19.817000, 20.595000, 18.492000, 19.742000, 26.059000, 20.565000, 12.736000, 20.728000, 20.569000, 20.439000, 20.899000, 20.860000, 20.970000, 21.220000, -119.980000, -173.020000, 0.000001, 771.628000, 770.314000
2458925.027171, 91.14, 0.33, 20.200000, 29.100000, 19.000000, 24.700000, 0.400000, 20.499000, 19.785000, 20.595000, 18.443000, 19.730000, 26.036000, 20.565000, 12.628000, 20.728000, 20.567000, 20.438000, 20.898000, 20.820000, 20.980000, 21.210000, -119.980000, -173.020000, 0.000001, 771.676000, 770.315000
2458925.027741, 90.70, 0.29, 20.200000, 29.100000, 18.900000, 24.900000, 0.400000, 20.498000, 19.759000, 20.595000, 18.388000, 19.724000, 25.580000, 20.563000, 12.596000, 20.728000, 20.632000, 20.436000, 20.895000, 20.800000, 21.020000, 21.220000, -120.000000, -173.020000, 0.000001, 771.639000, 770.313000
2458925.028311, 91.95, 0.31, 20.200000, 29.100000, 18.900000, 24.900000, 0.400000, 20.498000, 19.759000, 20.595000, 18.388000, 19.724000, 25.580000, 20.563000, 12.596000, 20.728000, 20.632000, 20.436000, 20.895000, 20.800000, 21.020000, 21.220000, -120.000000, -173.020000, 0.000001, 771.639000, 770.313000
2458925.028883, 80.70, 0.33, 20.200000, 29.100000, 18.800000, 25.000000, 0.400000, 20.497000, 19.748000, 20.595000, 18.289000, 19.733000, 26.519000, 20.563000, 12.606000, 20.728000, 20.627000, 20.437000, 20.899000, 20.780000, 21.010000, 21.220000, -119.990000, -173.020000, 0.000001, 771.657000, 770.313000
2458925.029453, 84.12, 0.33, 20.200000, 29.100000, 18.700000, 25.000000, 0.400000, 20.497000, 19.872000, 20.595000, 18.268000, 19.727000, 26.425000, 20.562000, 12.668000, 20.728000, 20.550000, 20.434000, 20.903000, 20.800000, 20.980000, 21.200000, -120.010000, -172.950000, 0.000001, 771.686000, 770.312000
2458925.030023, 86.74, 0.29, 20.200000, 29.100000, 18.800000, 25.000000, 0.400000, 20.496000, 19.878000, 20.595000, 18.359000, 19.774000, 25.917000, 20.563000, 12.664000, 20.727000, 20.556000, 20.433000, 20.897000, 20.870000, 20.980000, 21.210000, -120.010000, -172.980000, 0.000001, 771.668000, 770.313000
2458925.030594, 79.17, 0.34, 20.200000, 29.100000, 19.100000, 24.500000, 0.400000, 20.496000, 19.798000, 20.595000, 18.302000, 19.716000, 26.888000, 20.562000, 12.663000, 20.728000, 20.527000, 20.435000, 20.886000, 20.830000, 20.970000, 21.210000, -120.000000, -172.930000, 0.000001, 771.697000, 770.311000
2458925.031164, 81.58, 0.31, 20.300000, 29.100000, 19.500000, 24.200000, 0.400000, 20.494000, 19.856000, 20.594000, 18.398000, 19.724000, 25.826000, 20.561000, 12.632000, 20.728000, 20.558000, 20.435000, 20.893000, 20.820000, 20.990000, 21.160000, -120.000000, -172.930000, 0.000001, 771.601000, 770.314000
2458925.031735, 77.16, 0.24, 20.300000, 29.100000, 19.500000, 24.200000, 0.400000, 20.494000, 19.856000, 20.594000, 18.398000, 19.724000, 25.826000, 20.561000, 12.632000, 20.728000, 20.558000, 20.435000, 20.893000, 20.820000, 20.990000, 21.160000, -120.000000, -172.930000, 0.000001, 771.601000, 770.314000
2458925.032306, 79.07, 0.31, 20.200000, 29.100000, 19.700000, 23.800000, 0.400000, 20.494000, 19.856000, 20.595000, 18.659000, 19.746000, 25.010000, 20.561000, 12.682000, 20.728000, 20.502000, 20.432000, 20.901000, 20.820000, 21.000000, 21.250000, -119.990000, -172.860000, 0.000001, 771.691000, 770.313000
2458925.032876, 75.97, 0.25, 20.300000, 29.100000, 19.900000, 23.700000, 0.400000, 20.494000, 19.782000, 20.595000, 18.698000, 19.754000, 26.036000, 20.560000, 12.602000, 20.728000, 20.556000, 20.433000, 20.902000, 20.840000, 21.000000, 21.290000, -119.990000, -172.860000, 0.000001, 771.694000, 770.313000
2458925.033447, 72.92, 0.31, 20.300000, 29.100000, 20.000000, 23.600000, 0.400000, 20.493000, 19.826000, 20.595000, 18.811000, 19.756000, 26.947000, 20.559000, 12.585000, 20.727000, 20.513000, 20.428000, 20.898000, 20.850000, 20.990000, 21.210000, -119.980000, -172.840000, 0.000001, 771.618000, 770.311000
2458925.034017, 75.73, 0.26, 20.300000, 29.100000, 20.000000, 23.400000, 0.400000, 20.492000, 19.771000, 20.594000, 18.983000, 19.760000, 25.377000, 20.559000, 12.674000, 20.727000, 20.494000, 20.423000, 20.897000, 20.830000, 20.980000, 21.220000, -119.990000, -172.830000, 0.000001, 771.625000, 770.312000
2458925.034589, 73.23, 0.28, 20.300000, 29.100000, 20.000000, 23.400000, 0.400000, 20.492000, 19.771000, 20.594000, 18.983000, 19.760000, 25.377000, 20.559000, 12.674000, 20.727000, 20.494000, 20.423000, 20.897000, 20.830000, 20.980000, 21.220000, -119.990000, -172.830000, 0.000001, 771.625000, 770.312000
2458925.038347, 50.44, 0.25, 20.200000, 29.200000, 18.800000, 25.100000, 0.400000, 20.489000, 19.819000, 20.594000, 18.340000, 19.709000, 25.954000, 20.556000, 12.510000, 20.726000, 20.502000, 20.428000, 20.900000, 20.870000, 20.960000, 21.240000, -119.990000, -173.030000, 0.000001, 771.670000, 770.311000
2458925.038918, 46.54, 0.32, 20.200000, 29.200000, 18.800000, 25.100000, 0.400000, 20.489000, 19.722000, 20.594000, 18.253000, 19.694000, 25.907000, 20.556000, 12.535000, 20.726000, 20.506000, 20.423000, 20.902000, 20.830000, 20.980000, 21.230000, -119.980000, -172.930000, 0.000001, 771.673000, 770.310000
2458925.039487, 47.14, 0.21, 20.200000, 29.200000, 18.900000, 25.000000, 0.400000, 20.488000, 19.778000, 20.594000, 18.366000, 19.713000, 25.404000, 20.555000, 12.548000, 20.726000, 20.564000, 20.428000, 20.899000, 20.870000, 20.980000, 21.210000, -119.990000, -173.030000, 0.000001, 771.700000, 770.309000
