JD_UTC,RV,RV_ERR,FIES_ROOM_WEBSENSOR1_TEMPERATURE_NEAR_CEILING,FIES_ROOM_WEBSENSOR1_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_TEMPERATURE,FIES_FRONT_ROOM_WEBSENSOR2_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_ILLUMINATION,FIES_INSIDE_BLACK_BOX_AT_REAR,FIES_ROOM_NEAR_CEILING_AND_FAN_CONTROL,FIES_UNDER_GRATING_IN_TANK,FIES_FRONT_ROOM,FIES_BELOW_TABLE,FIES_ABOVE_HEATER_RADIATOR,FIES_INSIDE_BLACK_BOX_CENTRE,FIES_ABOVE_CEILING,FIES_GRATING_TANK_HOUSING,FIES_INSIDE_WHITE_BOX_REAR,FIES_INSIDE_WHITE_BOX_CENTRE,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_INCLUDE_GND,FIES_CEILING_NEAR_INSTRUMENT_AARHUS_1,FIES_INSIDE_BLACK_BOX_AARHUS_2,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_AARHUS_3,FIES_DETECTOR_TEMPERATURE,FIES_DEWAR_TEMPERATURE,FIES_DETECTOR_PRESSURE,FIES_ATMOSPHERIC_PRESSURE,FIES_GRATING_TANK_PRESSURE
2458934.948159, -16.08, 0.24, 20.000000, 33.600000, 19.500000, 33.600000, 0.400000, 20.451000, 19.629000, 20.578000, 18.439000, 19.275000, 27.594000, 20.536000, 10.321000, 20.703000, 20.386000, 20.275000, 20.856000, 20.640000, 21.010000, 21.320000, -120.000000, -172.900000, 0.000001, 766.609000, 769.192000
2458934.948370, -15.75, 0.24, 20.000000, 33.600000, 19.500000, 33.600000, 0.400000, 20.451000, 19.629000, 20.578000, 18.439000, 19.275000, 27.594000, 20.536000, 10.321000, 20.703000, 20.386000, 20.275000, 20.856000, 20.640000, 21.010000, 21.320000, -120.000000, -172.900000, 0.000001, 766.609000, 769.192000
2458934.948581, -16.09, 0.26, 20.000000, 33.600000, 19.500000, 33.600000, 0.400000, 20.451000, 19.629000, 20.578000, 18.439000, 19.275000, 27.594000, 20.536000, 10.321000, 20.703000, 20.386000, 20.275000, 20.856000, 20.640000, 21.010000, 21.320000, -120.000000, -172.900000, 0.000001, 766.609000, 769.192000
2458934.948793, -14.32, 0.30, 20.000000, 33.600000, 19.500000, 33.600000, 0.400000, 20.451000, 19.629000, 20.578000, 18.439000, 19.275000, 27.594000, 20.536000, 10.321000, 20.703000, 20.386000, 20.275000, 20.856000, 20.640000, 21.010000, 21.320000, -120.000000, -172.900000, 0.000001, 766.609000, 769.192000
2458934.949005, -14.43, 0.24, 20.000000, 33.600000, 19.500000, 33.600000, 0.400000, 20.451000, 19.629000, 20.578000, 18.439000, 19.275000, 27.594000, 20.536000, 10.321000, 20.703000, 20.386000, 20.275000, 20.856000, 20.640000, 21.010000, 21.320000, -120.000000, -172.900000, 0.000001, 766.609000, 769.192000
2458934.949216, -14.95, 0.28, 20.000000, 33.700000, 19.700000, 33.100000, 0.400000, 20.450000, 19.614000, 20.578000, 18.697000, 19.275000, 26.742000, 20.536000, 10.337000, 20.704000, 20.449000, 20.276000, 20.847000, 20.650000, 20.990000, 21.320000, -120.010000, -172.890000, 0.000001, 766.609000, 769.194000
2458934.949428, -16.83, 0.29, 20.000000, 33.700000, 19.700000, 33.100000, 0.400000, 20.450000, 19.614000, 20.578000, 18.697000, 19.275000, 26.742000, 20.536000, 10.337000, 20.704000, 20.449000, 20.276000, 20.847000, 20.650000, 20.990000, 21.320000, -120.010000, -172.890000, 0.000001, 766.609000, 769.194000
2458934.949639, -17.02, 0.29, 20.000000, 33.700000, 19.700000, 33.100000, 0.400000, 20.450000, 19.614000, 20.578000, 18.697000, 19.275000, 26.742000, 20.536000, 10.337000, 20.704000, 20.449000, 20.276000, 20.847000, 20.650000, 20.990000, 21.320000, -120.010000, -172.890000, 0.000001, 766.609000, 769.194000
2458934.949851, -18.42, 0.24, 20.000000, 33.700000, 19.700000, 33.100000, 0.400000, 20.450000, 19.614000, 20.578000, 18.697000, 19.275000, 26.742000, 20.536000, 10.337000, 20.704000, 20.449000, 20.276000, 20.847000, 20.650000, 20.990000, 21.320000, -120.010000, -172.890000, 0.000001, 766.609000, 769.194000
2458934.950062, -18.85, 0.25, 20.000000, 33.700000, 20.000000, 32.700000, 0.400000, 20.451000, 19.617000, 20.578000, 18.801000, 19.289000, 27.089000, 20.537000, 10.308000, 20.704000, 20.405000, 20.277000, 20.857000, 20.620000, 21.020000, 21.310000, -120.000000, -172.870000, 0.000001, 766.616000, 769.193000
