DateTimeUT,"FIES room WebSensor1 Temperature near ceiling","FIES room WebSensor1 Humidity","FIES room WebSensor1 Illumination","FIES front room WebSensor2 Temperature","FIES front room WebSensor2 Humidity","FIES front room WebSensor2 Illumination","FIES inside black box at rear","FIES room near ceiling and fan control","FIES under grating in tank","FIES front room","FIES below table girder","FIES above heater radiator","FIES inside black box centre","FIES above ceiling","FIES grating tank housing","FIES inside white box rear","FIES inside white box centre","FIES centre of table [inc. gnd]","FIES ceiling near instrument (Aarhus 1)","FIES inside black box (Aarhus 2)","FIES Inside white box under dewar (Aarhus 3)","FIES Detector temperature","FIES Dewar temperature","FIES Detector pressure","FIES Atmospheric Pressure","FIES grating tank pressure"
"2020-03-16 12:00:20",20.2,29.3,0,18.8,25.2,0.4,20.518,19.63,20.597,18.336,19.922,25.121,20.576,12.668,20.732,20.567,20.45,20.913,20.66,21,21.24,-120,-173.02,1.45e-06,771.86,770.322
"2020-03-16 12:01:19",20.2,29.3,119.1,18.8,25.6,27.5,20.518,19.639,20.597,18.223,19.87,25.878,20.575,12.672,20.731,20.566,20.448,20.924,20.59,21.01,21.25,-119.98,-173.01,1.45e-06,771.729,770.323
"2020-03-16 12:02:20",20.2,29,0,18.6,21.2,0.4,20.518,19.773,20.597,18.02,19.705,29.053,20.576,12.727,20.732,20.56,20.448,20.92,20.75,20.99,21.28,-119.99,-173.01,1.46e-06,771.801,770.324
"2020-03-16 12:03:19",20.3,28.9,0,18.9,21.2,0.4,20.518,19.81,20.597,18.326,19.746,28.085,20.575,12.814,20.732,20.517,20.448,20.917,20.81,21.02,21.29,-120.01,-173,1.45e-06,771.799,770.323
"2020-03-16 12:04:19",20.3,28.9,0,19.3,21.1,0.4,20.516,19.839,20.597,18.46,19.74,27.893,20.574,12.766,20.732,20.488,20.452,20.918,20.84,21.02,21.31,-119.99,-173.01,1.45e-06,771.73,770.322
"2020-03-16 12:05:20",20.3,28.9,0,19.6,21.1,0.4,20.516,19.882,20.597,18.594,19.727,27.439,20.574,12.811,20.732,20.434,20.45,20.915,20.91,20.99,21.31,-120,-173.01,1.46e-06,771.739,770.322
"2020-03-16 12:06:20",20.3,28.9,0,19.8,21.2,0.4,20.515,19.861,20.596,18.575,19.722,27.296,20.573,12.746,20.731,20.466,20.45,20.91,20.92,20.98,21.25,-120.01,-173.04,1.45e-06,771.725,770.322
"2020-03-16 12:07:19",20.3,28.9,0,19.9,21.4,0.4,20.515,19.882,20.597,18.757,19.719,27.412,20.575,12.786,20.731,20.465,20.451,20.914,20.95,21.02,21.23,-120,-173.06,1.45e-06,771.766,770.322
"2020-03-16 12:08:20",20.3,28.9,0,20,21.5,0.4,20.515,19.871,20.597,18.799,19.706,28.464,20.573,12.712,20.731,20.456,20.453,20.912,20.95,21,21.27,-119.99,-173.09,1.45e-06,771.849,770.323
"2020-03-16 12:09:20",20.4,28.9,0,20,21.6,0.4,20.515,19.846,20.596,19.018,19.782,26.781,20.573,12.76,20.731,20.518,20.448,20.914,20.95,21,21.31,-119.99,-173.11,1.45e-06,771.809,770.321
"2020-03-16 12:10:19",20.3,28.9,0,19.7,22.1,0.4,20.514,19.944,20.597,18.758,19.767,27.844,20.573,12.736,20.731,20.501,20.446,20.912,20.95,20.97,21.24,-120,-173.11,1.45e-06,771.799,770.321
"2020-03-16 12:11:20",20.3,28.9,0,19.3,22.7,0.4,20.513,19.903,20.596,18.597,19.716,28.558,20.573,12.668,20.731,20.427,20.45,20.919,20.99,20.98,21.24,-120,-173.1,1.45e-06,771.835,770.321
"2020-03-16 12:12:19",20.4,28.9,0,19.1,23.1,0.4,20.513,19.908,20.596,18.475,19.793,27.22,20.572,12.673,20.73,20.52,20.447,20.916,20.96,21,21.26,-119.98,-173.1,1.45e-06,771.755,770.318
"2020-03-16 12:13:20",20.3,28.9,0,19,23.5,0.4,20.513,19.902,20.596,18.401,19.803,25.472,20.573,12.64,20.73,20.54,20.442,20.919,20.93,20.97,21.3,-120,-173.09,1.45e-06,771.868,770.32
"2020-03-16 12:14:20",20.3,28.9,0,18.8,23.7,0.4,20.512,19.943,20.596,18.351,19.798,26.715,20.571,12.587,20.73,20.53,20.438,20.919,20.96,21.01,21.21,-119.99,-173.09,1.45e-06,771.777,770.321
"2020-03-16 12:15:20",20.3,28.9,0,18.7,24,0.4,20.512,19.915,20.596,18.374,19.75,26.698,20.572,12.715,20.73,20.538,20.443,20.916,20.96,21.01,21.27,-120.01,-173.12,1.45e-06,771.818,770.32
"2020-03-16 12:16:20",20.3,29,0,18.8,23.9,0.4,20.511,19.914,20.596,18.353,19.717,26.198,20.571,12.692,20.73,20.593,20.44,20.915,20.94,21.02,21.26,-119.99,-173.11,1.45e-06,771.839,770.321
"2020-03-16 12:17:19",20.3,29,0,18.9,23.9,0.4,20.511,19.944,20.596,18.275,19.72,27.606,20.571,12.731,20.73,20.614,20.44,20.916,20.96,21.01,21.24,-119.99,-173.09,1.45e-06,771.809,770.319
"2020-03-16 12:18:20",20.3,29,0,19.3,23.5,0.4,20.51,19.901,20.596,18.307,19.804,27.184,20.572,12.733,20.73,20.583,20.445,20.915,20.96,21.01,21.27,-120.01,-173.06,1.45e-06,771.834,770.319
"2020-03-16 12:19:20",20.3,29,0,19.5,23.3,0.4,20.51,19.887,20.596,18.701,19.771,26.717,20.572,12.715,20.73,20.543,20.444,20.921,20.93,21,21.29,-120.01,-173.06,1.45e-06,771.896,770.319
"2020-03-16 12:20:20",20.2,29,0,19.8,23.1,0.4,20.509,19.874,20.596,18.65,19.801,26.045,20.571,12.695,20.73,20.523,20.446,20.919,20.94,21.02,21.24,-120,-173.06,1.45e-06,771.851,770.319
"2020-03-16 12:21:20",20.3,29,0,19.9,23,0.4,20.508,19.87,20.596,18.78,19.737,27.921,20.57,12.658,20.73,20.483,20.45,20.914,20.95,21.04,21.25,-120,-173.05,1.45e-06,771.879,770.318
"2020-03-16 12:22:20",20.3,29,0,20.1,22.9,0.4,20.508,19.966,20.596,18.873,19.773,25.96,20.57,12.625,20.73,20.543,20.448,20.918,20.94,21,21.23,-120,-173.04,1.45e-06,771.825,770.317
"2020-03-16 12:23:20",20.3,29,0,19.8,23.2,0.4,20.507,19.864,20.596,18.877,19.754,27.565,20.569,12.608,20.729,20.604,20.445,20.916,20.9,21.01,21.26,-119.99,-173.07,1.46e-06,771.752,770.317
"2020-03-16 12:24:20",20.3,29,0,19.5,23.6,0.4,20.507,19.785,20.596,18.64,19.752,26.472,20.569,12.638,20.73,20.527,20.443,20.918,20.88,20.99,21.3,,,,771.745,770.317
"2020-03-16 12:25:20",20.3,29,0,19.2,24.2,0.4,20.506,19.865,20.596,18.512,19.772,27.08,20.569,12.627,20.729,20.478,20.439,20.918,20.88,21.02,21.3,,,,771.81,770.318
"2020-03-16 12:26:20",20.3,29,0,19,24.2,0.4,20.505,19.857,20.596,18.427,19.787,26.617,20.568,12.696,20.729,20.469,20.442,20.915,20.93,21.02,21.3,-120,-173.05,1.45e-06,771.787,770.317
"2020-03-16 12:27:20",20.3,29,0,18.9,24.4,0.4,20.505,19.825,20.596,18.325,19.753,26.728,20.568,12.703,20.729,20.533,20.442,20.912,20.92,20.97,21.25,-119.98,-173.06,1.45e-06,771.682,770.317
"2020-03-16 12:28:20",20.3,29,0,18.8,25.1,0.4,20.505,19.861,20.596,18.328,19.783,25.993,20.568,12.726,20.729,20.453,20.442,20.91,20.89,20.97,21.27,-120.01,-173.06,1.45e-06,771.751,770.318
"2020-03-16 12:29:20",20.3,29,0,18.8,24.6,0.4,20.504,19.813,20.595,18.356,19.721,26.989,20.567,12.71,20.729,20.611,20.438,20.911,20.85,20.98,21.23,-120,-173.08,1.45e-06,771.797,770.318
"2020-03-16 12:30:20",20.2,29.1,0,18.9,24.5,0.4,20.503,19.869,20.596,18.403,19.794,25.911,20.566,12.733,20.729,20.578,20.437,20.915,20.9,21,21.29,-119.98,-173.09,1.45e-06,771.775,770.316
"2020-03-16 12:31:20",20.2,29.1,0,19.3,24.1,0.4,20.503,19.882,20.596,18.321,19.779,25.276,20.567,12.736,20.729,20.525,20.441,20.915,20.94,20.98,21.27,-120.01,-173.09,1.45e-06,771.753,770.315
"2020-03-16 12:32:20",20.2,29.1,0,19.5,23.9,0.4,20.502,19.859,20.595,18.497,19.775,26.424,20.566,12.745,20.729,20.493,20.439,20.907,20.91,21.02,21.26,-119.98,-173.13,1.45e-06,771.738,770.315
"2020-03-16 12:33:19",20.2,29.2,0,19.7,23.6,0.4,20.502,19.792,20.595,18.619,19.75,25.861,20.566,12.737,20.729,20.491,20.437,20.914,20.86,21.02,21.27,-120.01,-173.16,1.45e-06,771.826,770.317
"2020-03-16 12:34:20",20.2,29.2,0,19.9,23.5,0.4,20.501,19.779,20.595,18.779,19.737,25.902,20.566,12.736,20.729,20.467,20.441,20.9,20.84,20.98,21.26,-120,-173.15,1.45e-06,771.693,770.315
"2020-03-16 12:35:20",20.2,29.1,0,20,23.4,0.4,20.5,19.885,20.595,18.956,19.778,25.54,20.565,12.718,20.729,20.44,20.438,20.906,20.89,20.99,21.27,-119.98,-173.02,1.45e-06,771.755,770.315
"2020-03-16 12:36:20",20.2,29.1,0,19.7,23.7,0.4,20.501,19.866,20.595,18.771,19.778,25.627,20.566,12.705,20.728,20.418,20.438,20.912,20.9,20.96,21.29,-119.99,-173.02,1.45e-06,771.754,770.314
"2020-03-16 12:37:19",20.2,29.1,0,19.4,24.1,0.4,20.5,19.837,20.595,18.614,19.689,27.936,20.563,12.74,20.728,20.52,20.439,20.905,20.85,21.02,21.23,-119.98,-172.91,1.45e-06,771.594,770.315
"2020-03-16 12:38:20",20.2,29.1,0,19.2,24.4,0.4,20.499,19.817,20.595,18.492,19.742,26.059,20.565,12.736,20.728,20.569,20.439,20.899,20.86,20.97,21.22,-119.98,-173.02,1.45e-06,771.628,770.314
"2020-03-16 12:39:20",20.2,29.1,0,19,24.7,0.4,20.499,19.785,20.595,18.443,19.73,26.036,20.565,12.628,20.728,20.567,20.438,20.898,20.82,20.98,21.21,-119.98,-173.02,1.45e-06,771.676,770.315
"2020-03-16 12:40:20",20.2,29.1,0,18.9,24.9,0.4,20.498,19.759,20.595,18.388,19.724,25.58,20.563,12.596,20.728,20.632,20.436,20.895,20.8,21.02,21.22,-120,-173.02,1.45e-06,771.639,770.313
"2020-03-16 12:41:20",20.2,29.1,0,18.8,25,0.4,20.497,19.748,20.595,18.289,19.733,26.519,20.563,12.606,20.728,20.627,20.437,20.899,20.78,21.01,21.22,-119.99,-173.02,1.45e-06,771.657,770.313
