DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-16 12:14:10",949.3,0
"2020-03-16 12:34:14",0,4831197
"2020-03-16 12:34:17",4.216,4831611
"2020-03-16 12:34:21",7.574,4832149
"2020-03-16 12:34:25",11.365,4832627
"2020-03-16 12:34:29",15.156,4833081
"2020-03-16 12:34:32",19.053,4833530
"2020-03-16 12:34:36",22.737,4834061
"2020-03-16 12:34:40",26.528,4834510
"2020-03-16 12:34:44",30.319,4834939
"2020-03-16 12:34:48",34.109,4835338
"2020-03-16 12:34:51",38.101,4835786
"2020-03-16 12:34:55",41.69,4836230
"2020-03-16 12:34:59",45.481,4836690
"2020-03-16 12:35:03",49.272,9660470
"2020-03-16 12:35:07",53.062,9660944
"2020-03-16 12:35:11",57.147,9661390
"2020-03-16 12:35:14",61.195,9661848
"2020-03-16 12:35:18",64.595,9662316
"2020-03-16 12:35:22",68.385,9662709
"2020-03-16 12:35:26",72.176,9663186
"2020-03-16 12:35:30",76.033,9663620
"2020-03-16 12:35:33",80.243,9664128
"2020-03-16 12:35:37",83.547,9664532
"2020-03-16 12:35:41",87.338,9664961
"2020-03-16 12:35:45",91.129,9665398
"2020-03-16 12:35:48",95.08,9665796
"2020-03-16 12:35:52",98.711,14460655
"2020-03-16 12:35:56",102.501,14461084
"2020-03-16 12:36:00",106.292,14461538
"2020-03-16 12:36:04",110.083,14462011
"2020-03-16 12:36:07",114.126,14462436
"2020-03-16 12:36:11",117.664,14462841
"2020-03-16 12:36:15",121.454,14463257
"2020-03-16 12:36:19",125.246,14463712
"2020-03-16 12:36:23",129.036,14464113
"2020-03-16 12:36:26",133.173,14464500
"2020-03-16 12:36:30",136.617,14464985
"2020-03-16 12:36:34",140.408,14465374
"2020-03-16 12:36:38",144.199,14465877
"2020-03-16 12:36:42",148.01,19281322
"2020-03-16 12:36:45",152.22,19281810
"2020-03-16 12:36:49",155.571,19282242
"2020-03-16 12:36:53",159.362,19282720
"2020-03-16 12:36:57",163.153,19283160
"2020-03-16 12:37:00",167.058,19283554
"2020-03-16 12:37:04",170.733,19283992
"2020-03-16 12:37:08",174.524,19284440
"2020-03-16 12:37:12",178.315,19284850
"2020-03-16 12:37:16",182.106,19285364
"2020-03-16 12:37:19",186.104,19285868
"2020-03-16 12:37:23",189.687,19286318
"2020-03-16 12:37:27",193.478,19286714
"2020-03-16 12:37:31",197.268,24102620
"2020-03-16 12:37:35",201.059,24103016
"2020-03-16 12:37:38",205.15,24103438
"2020-03-16 12:37:42",208.641,24103880
"2020-03-16 12:37:46",212.431,24104392
"2020-03-16 12:37:50",216.221,24104864
"2020-03-16 12:37:54",220.012,24105316
"2020-03-16 12:37:57",224.197,24105750
"2020-03-16 12:38:01",227.594,24106206
"2020-03-16 12:38:05",231.384,24106628
"2020-03-16 12:38:09",235.175,24107020
"2020-03-16 12:38:13",239.034,24107464
"2020-03-16 12:38:16",243.243,24107936
"2020-03-16 12:38:20",246.547,28934036
"2020-03-16 12:38:24",250.338,28934508
"2020-03-16 12:38:28",254.129,28934930
"2020-03-16 12:38:31",258.081,28935344
"2020-03-16 12:38:35",261.71,28935772
"2020-03-16 12:38:39",265.5,28936162
"2020-03-16 12:38:43",269.291,28936580
"2020-03-16 12:38:47",273.082,28937060
"2020-03-16 12:38:50",277.128,28937488
"2020-03-16 12:38:54",280.663,28937950
"2020-03-16 12:38:58",284.454,28938378
"2020-03-16 12:39:02",288.245,28938832
"2020-03-16 12:39:06",292.035,28939316
"2020-03-16 12:39:09",296.174,33753960
"2020-03-16 12:39:13",299.616,33754492
"2020-03-16 12:39:17",303.407,33754948
"2020-03-16 12:39:21",307.197,33755424
"2020-03-16 12:39:25",311.012,33755832
"2020-03-16 12:39:28",315.221,33756316
"2020-03-16 12:39:32",318.569,33756732
"2020-03-16 12:39:36",322.361,33757136
"2020-03-16 12:39:40",326.151,33757576
"2020-03-16 12:39:43",330.059,33758000
"2020-03-16 12:39:47",333.732,33758472
"2020-03-16 12:39:51",337.523,33758936
"2020-03-16 12:39:55",341.313,33759360
"2020-03-16 12:39:59",345.104,38577232
"2020-03-16 12:40:02",349.106,38577760
"2020-03-16 12:40:06",352.685,38578176
"2020-03-16 12:40:10",356.476,38578608
"2020-03-16 12:40:14",360.267,38579128
"2020-03-16 12:40:18",364.057,38579628
"2020-03-16 12:40:21",368.152,38580132
"2020-03-16 12:40:25",371.638,38580624
"2020-03-16 12:40:29",375.429,38581008
"2020-03-16 12:40:33",379.22,38581368
"2020-03-16 12:40:37",383.01,38581864
"2020-03-16 12:40:40",387.199,38582328
"2020-03-16 12:40:44",390.592,38582776
"2020-03-16 12:40:48",394.382,43405184
"2020-03-16 12:40:52",398.173,43405688
"2020-03-16 12:40:56",402.036,43406180
"2020-03-16 12:40:59",406.245,43406616
"2020-03-16 12:41:03",409.545,43407056
"2020-03-16 12:41:07",413.336,43407496
"2020-03-16 12:41:11",417.127,43407944
"2020-03-16 12:41:14",421.083,43408356
"2020-03-16 12:41:18",424.709,43408792
"2020-03-16 12:41:22",428.498,43409168
"2020-03-16 12:41:26",432.288,43409552
"2020-03-16 12:41:30",436.08,43409968
"2020-03-16 12:41:33",440.13,43410460
"2020-03-16 12:41:37",443.66,48228012
"2020-03-16 12:41:41",447.452,48228528
"2020-03-16 12:41:45",451.243,48229056
"2020-03-16 12:41:49",455.033,48229544
"2020-03-16 12:41:52",459.176,48229988
"2020-03-16 12:41:56",462.614,48230376
"2020-03-16 12:42:00",466.406,48230796
"2020-03-16 12:42:04",470.196,48231240
"2020-03-16 12:42:08",474.014,48231660
"2020-03-16 12:42:11",478.224,48232056
"2020-03-16 12:42:15",481.567,48232536
"2020-03-16 12:42:19",485.358,48232888
"2020-03-16 12:42:23",489.149,48233376
"2020-03-16 12:42:26",493.06,53025428
"2020-03-16 12:42:30",496.73,53025952
"2020-03-16 12:42:34",500.521,53026400
"2020-03-16 12:42:38",504.312,53026796
"2020-03-16 12:42:42",508.103,53027200
"2020-03-16 12:42:45",512.107,53027676
"2020-03-16 12:42:49",515.685,53028180
"2020-03-16 12:42:53",519.474,53028632
"2020-03-16 12:42:57",523.265,53029032
"2020-03-16 12:43:01",527.055,53029508
"2020-03-16 12:43:04",531.154,53029968
"2020-03-16 12:43:08",534.637,53030396
"2020-03-16 12:43:12",538.428,53030872
"2020-03-16 12:43:16",542.218,57809332
"2020-03-16 12:43:20",546.009,57809884
"2020-03-16 12:43:23",550.2,57810364
"2020-03-16 12:43:27",553.591,57810832
"2020-03-16 12:43:31",557.381,57811288
"2020-03-16 12:43:35",561.172,57811700
"2020-03-16 12:43:39",565.038,57812172
"2020-03-16 12:43:42",569.247,57812652
"2020-03-16 12:43:46",572.544,57813116
"2020-03-16 12:43:50",576.335,57813616
"2020-03-16 12:43:54",580.127,57813984
"2020-03-16 12:43:57",584.084,57814440
"2020-03-16 12:44:01",587.707,57814872
"2020-03-16 12:44:05",591.497,62618592
"2020-03-16 12:44:09",595.298,62619060
"2020-03-16 12:44:13",599.089,62619484
"2020-03-16 12:44:16",603.12,62619984
"2020-03-16 12:44:20",606.67,62620404
"2020-03-16 12:44:24",610.461,62620764
"2020-03-16 12:44:28",614.251,62621196
"2020-03-16 12:44:32",618.042,62621680
"2020-03-16 12:44:35",622.167,62622152
"2020-03-16 12:44:39",625.633,62622628
"2020-03-16 12:44:43",629.434,62623028
